                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 0.7936,                0.48831,                 1.0581,                0.97528,                0.99104,                0.99324,                0.76679,                0.81815,                0.39441,                 1.0808,              0.0014195,              0.0014195,              0.0014195
                     47,                0.78777,                0.49364,                 1.0688,                0.98533,                0.98833,                0.99472,                0.76873,                0.85182,                0.39966,                 1.0948,              0.0014139,              0.0014139,              0.0014139
                     48,                0.80723,                0.52188,                 1.0885,                0.98076,                0.98665,                0.99116,                0.78305,                 0.8292,                0.38395,                 1.0793,              0.0014084,              0.0014084,              0.0014084
                     49,                0.77802,                0.49026,                 1.0463,                0.99154,                0.99467,                 0.9943,                0.76795,                0.85295,                 0.3733,                 1.0866,              0.0014029,              0.0014029,              0.0014029
                     50,                0.77458,                0.45592,                 1.0419,                0.98828,                0.99557,                0.99426,                0.77649,                0.79483,                0.36205,                 1.0537,              0.0013974,              0.0013974,              0.0013974
                     51,                0.75142,                0.46331,                 1.0538,                0.99392,                0.99156,                0.99494,                0.78186,                0.80866,                0.38223,                 1.0717,              0.0013919,              0.0013919,              0.0013919
                     52,                0.76531,                0.48083,                 1.0447,                0.99547,                0.99508,                0.99449,                0.80016,                0.80311,                0.35067,                 1.0693,              0.0013864,              0.0013864,              0.0013864
                     53,                0.73107,                0.44786,                 1.0506,                0.99667,                0.99252,                0.99489,                0.79358,                0.80631,                0.35621,                   1.07,              0.0013809,              0.0013809,              0.0013809
                     54,                0.72084,                0.46124,                 1.0182,                0.99542,                0.99472,                0.99482,                0.78838,                0.81279,                0.36901,                 1.0768,              0.0013754,              0.0013754,              0.0013754
                     55,                0.71651,                0.45972,                   1.04,                 0.9941,                0.99547,                  0.995,                 0.7827,                0.81257,                0.34923,                 1.0782,              0.0013699,              0.0013699,              0.0013699
                     56,                0.72584,                0.44351,                 1.0223,                0.99588,                0.99442,                0.99496,                0.81569,                0.77595,                0.34044,                 1.0467,              0.0013644,              0.0013644,              0.0013644
                     57,                  0.699,                0.43706,                 1.0234,                0.99598,                0.99314,                0.99481,                0.80585,                0.80733,                0.34053,                 1.0644,              0.0013589,              0.0013589,              0.0013589
                     58,                0.70373,                0.43571,                 1.0117,                0.99333,                0.99733,                 0.9946,                0.79457,                0.79578,                0.34553,                 1.0739,              0.0013534,              0.0013534,              0.0013534
                     59,                0.71951,                0.43536,                 1.0415,                0.99171,                0.99819,                0.99453,                0.80124,                0.79397,                0.34485,                 1.0691,              0.0013479,              0.0013479,              0.0013479
                     60,                0.72184,                0.44936,                 1.0491,                0.97539,                0.99457,                0.99048,                0.80844,                0.77654,                0.36597,                 1.0577,              0.0013424,              0.0013424,              0.0013424
