                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.65607,                0.38172,                0.98581,                0.97843,                0.97685,                0.98973,                0.81778,                0.72139,                0.33025,                  1.004,              0.0013479,              0.0013479,              0.0013479
                     60,                0.63926,                0.37921,                0.97812,                0.98999,                0.97039,                0.98604,                0.81521,                0.72743,                0.33891,                 1.0128,              0.0013424,              0.0013424,              0.0013424
                     61,                0.65058,                0.37655,                0.99298,                0.98677,                0.97544,                0.98936,                0.81971,                0.72775,                0.31907,                 1.0134,              0.0013369,              0.0013369,              0.0013369
                     62,                0.65558,                 0.3936,                0.98948,                0.98188,                0.98191,                0.98816,                0.81366,                0.74596,                0.33887,                 1.0159,              0.0013314,              0.0013314,              0.0013314
                     63,                0.63585,                0.38244,                0.98275,                0.98555,                 0.9787,                0.98959,                0.82223,                0.70215,                0.32127,                0.98339,              0.0013259,              0.0013259,              0.0013259
                     64,                0.62448,                0.37609,                0.97348,                0.98919,                0.97645,                 0.9889,                0.82475,                 0.7106,                0.32477,                0.98988,              0.0013204,              0.0013204,              0.0013204
                     65,                0.61694,                0.35778,                0.96512,                0.98101,                 0.9782,                0.98808,                0.82811,                0.69788,                0.31874,                0.98842,              0.0013149,              0.0013149,              0.0013149
                     66,                0.61803,                0.36355,                0.96883,                0.98528,                0.97889,                0.98987,                 0.8247,                0.70841,                0.32056,                0.99871,              0.0013094,              0.0013094,              0.0013094
                     67,                0.61812,                 0.3604,                0.97124,                0.98741,                0.97742,                 0.9888,                0.81881,                 0.7196,                0.31452,                0.99338,              0.0013039,              0.0013039,              0.0013039
                     68,                0.65647,                0.37946,                0.99237,                0.96125,                 0.9709,                0.97935,                0.78052,                 0.7908,                0.37067,                 1.0422,              0.0012984,              0.0012984,              0.0012984
                     69,                 0.6257,                0.37177,                0.97778,                0.96698,                0.98559,                  0.982,                0.80214,                0.72006,                0.32707,                 0.9961,              0.0012929,              0.0012929,              0.0012929
                     70,                0.61366,                0.35681,                0.95806,                0.99056,                0.97831,                0.99133,                0.81775,                0.74631,                0.32003,                 1.0136,              0.0012874,              0.0012874,              0.0012874
                     71,                0.60508,                0.34699,                0.95982,                 0.9754,                0.98091,                0.98816,                 0.8165,                 0.7278,                 0.3232,                0.99758,              0.0012819,              0.0012819,              0.0012819
                     72,                0.63097,                0.37153,                0.98392,                0.97961,                0.97986,                0.98864,                0.81158,                0.72247,                0.32141,                 0.9934,              0.0012764,              0.0012764,              0.0012764
                     73,                0.63138,                0.35488,                0.96843,                 0.9776,                0.98953,                 0.9891,                0.82941,                0.69715,                0.30965,                0.98617,              0.0012709,              0.0012709,              0.0012709
                     74,                0.60185,                0.35254,                0.95735,                0.98072,                0.98446,                0.98867,                0.83612,                0.69106,                0.30942,                0.98339,              0.0012654,              0.0012654,              0.0012654
                     75,                0.61257,                0.35566,                0.97412,                0.98106,                0.98483,                0.98969,                0.82506,                0.71203,                0.31148,                0.99229,              0.0012599,              0.0012599,              0.0012599
                     76,                0.62745,                0.36739,                0.97225,                0.99197,                0.96692,                0.98518,                0.81065,                  0.731,                 0.3312,                 1.0092,              0.0012544,              0.0012544,              0.0012544
                     77,                0.60151,                0.35182,                0.96053,                0.98084,                0.97135,                0.98639,                0.81734,                0.71696,                0.33328,                0.99727,              0.0012489,              0.0012489,              0.0012489
                     78,                0.59489,                0.33714,                0.95428,                0.98807,                0.98039,                0.98962,                0.83309,                0.68935,                0.31132,                0.98218,              0.0012434,              0.0012434,              0.0012434
                     79,                0.59329,                 0.3457,                0.96631,                0.99016,                  0.985,                0.99002,                0.82593,                0.70502,                0.29359,                0.99705,              0.0012379,              0.0012379,              0.0012379
                     80,                0.62362,                 0.3567,                0.96711,                0.99531,                0.97555,                0.98754,                 0.8279,                 0.7035,                0.30681,                 0.9914,              0.0012324,              0.0012324,              0.0012324
                     81,                0.62097,                0.36015,                0.96595,                0.98564,                0.97875,                0.99006,                 0.8196,                0.72894,                0.32518,                  1.013,              0.0012269,              0.0012269,              0.0012269
                     82,                0.60702,                0.36244,                0.96493,                0.99339,                0.98255,                 0.9898,                0.83358,                0.70915,                0.31214,                0.98713,              0.0012214,              0.0012214,              0.0012214
                     83,                 0.5905,                0.35907,                0.96297,                 0.9822,                0.98365,                0.98842,                0.82976,                0.69573,                0.31113,                0.99223,              0.0012159,              0.0012159,              0.0012159
                     84,                0.56555,                0.33905,                0.95073,                0.98764,                0.98179,                0.98909,                0.82033,                0.71308,                0.31111,                0.99942,              0.0012104,              0.0012104,              0.0012104
                     85,                0.59556,                0.35352,                0.96963,                0.98159,                0.98571,                0.98844,                 0.8263,                0.70554,                0.31835,                0.99073,              0.0012049,              0.0012049,              0.0012049
                     86,                0.59522,                 0.3448,                0.96183,                0.98481,                 0.9793,                0.98972,                0.82557,                 0.7085,                0.31841,                0.98985,              0.0011994,              0.0011994,              0.0011994
                     87,                 0.5908,                0.34149,                0.95185,                0.99087,                0.97262,                0.98831,                0.82416,                0.69704,                0.31097,                0.98855,              0.0011939,              0.0011939,              0.0011939
                     88,                0.59366,                 0.3511,                0.95817,                 0.9894,                0.97864,                0.98676,                0.82953,                0.68363,                0.30261,                0.98523,              0.0011884,              0.0011884,              0.0011884
                     89,                 0.5758,                0.33635,                 0.9461,                0.98438,                0.98428,                0.98909,                0.83087,                0.67948,                0.29316,                0.97797,              0.0011829,              0.0011829,              0.0011829
                     90,                0.57911,                 0.3458,                0.95616,                0.99349,                0.97668,                0.98967,                0.83324,                0.68755,                0.30743,                0.98287,              0.0011774,              0.0011774,              0.0011774
                     91,                0.56301,                0.33881,                0.94468,                0.96339,                0.98521,                0.98766,                0.82343,                0.69652,                0.32396,                 0.9915,              0.0011719,              0.0011719,              0.0011719
                     92,                0.56962,                0.34752,                0.94435,                0.98148,                0.98336,                0.98758,                0.84007,                0.69046,                0.30906,                 0.9792,              0.0011664,              0.0011664,              0.0011664
